# lavaan TESTsuite -- lavaan version  0.6-17 
# date:  Tue Jan 16 18:03:59 2024 
# file:  ex4.1part2.out 

    lhs op rhs group        type    lav    mpl  delta
341  f2 =~  y1     1 est.std.nox  0.002  0.008 -0.006
342  f2 =~  y2     1 est.std.nox  0.014  0.022 -0.008
343  f2 =~  y3     1 est.std.nox -0.048 -0.042 -0.006
344  f2 =~  y4     1 est.std.nox  0.646  0.646  0.000
345  f2 =~  y5     1 est.std.nox  0.760  0.760  0.000
346  f2 =~  y6     1 est.std.nox  0.674  0.674  0.000
347  f2 =~  y7     1 est.std.nox  0.003  0.003  0.000
348  f2 =~  y8     1 est.std.nox  0.003  0.002  0.001
349  f2 =~  y9     1 est.std.nox -0.007 -0.007  0.000
350  f2 =~ y10     1 est.std.nox  0.005  0.006 -0.001
351  f2 =~ y11     1 est.std.nox  0.011  0.013 -0.002
352  f2 =~ y12     1 est.std.nox -0.038 -0.036 -0.002
353  f3 =~  y1     1 est.std.nox  0.080  0.074  0.006
354  f3 =~  y2     1 est.std.nox  0.003 -0.005  0.008
355  f3 =~  y3     1 est.std.nox -0.053 -0.058  0.005
356  f3 =~  y4     1 est.std.nox  0.002 -0.002  0.004
357  f3 =~  y5     1 est.std.nox -0.019 -0.023  0.004
358  f3 =~  y6     1 est.std.nox  0.035  0.030  0.005
359  f3 =~  y7     1 est.std.nox  0.734  0.734  0.000
360  f3 =~  y8     1 est.std.nox  0.726  0.727 -0.001
361  f3 =~  y9     1 est.std.nox  0.707  0.707  0.000
362  f3 =~ y10     1 est.std.nox -0.010 -0.010  0.000
363  f3 =~ y11     1 est.std.nox  0.001  0.001  0.000
364  f3 =~ y12     1 est.std.nox  0.008  0.008  0.000
365  f4 =~  y1     1 est.std.nox -0.005 -0.021  0.016
366  f4 =~  y2     1 est.std.nox  0.062  0.041  0.021
367  f4 =~  y3     1 est.std.nox -0.012 -0.028  0.016
368  f4 =~  y4     1 est.std.nox -0.016 -0.018  0.002
369  f4 =~  y5     1 est.std.nox  0.018  0.017  0.001
370  f4 =~  y6     1 est.std.nox -0.010 -0.012  0.002
371  f4 =~  y7     1 est.std.nox  0.019  0.018  0.001
372  f4 =~  y8     1 est.std.nox -0.016 -0.016  0.000
373  f4 =~  y9     1 est.std.nox  0.001 -0.001  0.002
374  f4 =~ y10     1 est.std.nox  0.691  0.692 -0.001
375  f4 =~ y11     1 est.std.nox  0.791  0.791  0.000
376  f4 =~ y12     1 est.std.nox  0.659  0.658  0.001
377  y1 ~~  y1     1 est.std.nox  0.588  0.588  0.000
378  y2 ~~  y2     1 est.std.nox  0.346  0.346  0.000
379  y3 ~~  y3     1 est.std.nox  0.594  0.594  0.000
380  y4 ~~  y4     1 est.std.nox  0.581  0.581  0.000
381  y5 ~~  y5     1 est.std.nox  0.424  0.424  0.000
382  y6 ~~  y6     1 est.std.nox  0.543  0.543  0.000
383  y7 ~~  y7     1 est.std.nox  0.462  0.462  0.000
384  y8 ~~  y8     1 est.std.nox  0.470  0.470  0.000
385  y9 ~~  y9     1 est.std.nox  0.498  0.498  0.000
386 y10 ~~ y10     1 est.std.nox  0.520  0.520  0.000
387 y11 ~~ y11     1 est.std.nox  0.376  0.376  0.000
388 y12 ~~ y12     1 est.std.nox  0.559  0.559  0.000
389  f1 ~~  f1     1 est.std.nox  1.000  1.000  0.000
390  f2 ~~  f2     1 est.std.nox  1.000  1.000  0.000
391  f3 ~~  f3     1 est.std.nox  1.000  1.000  0.000
392  f4 ~~  f4     1 est.std.nox  1.000  1.000  0.000
393  f1 ~~  f2     1 est.std.nox -0.024 -0.039  0.015
394  f1 ~~  f3     1 est.std.nox -0.009  0.007 -0.016
395  f1 ~~  f4     1 est.std.nox -0.022 -0.002 -0.020
396  f2 ~~  f3     1 est.std.nox  0.023  0.029 -0.006
397  f2 ~~  f4     1 est.std.nox -0.120 -0.121  0.001
398  f3 ~~  f4     1 est.std.nox -0.029 -0.028 -0.001
399  y1 ~1         1 est.std.nox  0.008  0.008  0.000
400  y2 ~1         1 est.std.nox  0.033  0.033  0.000
401  y3 ~1         1 est.std.nox  0.003  0.003  0.000
402  y4 ~1         1 est.std.nox  0.073  0.073  0.000
403  y5 ~1         1 est.std.nox  0.064  0.064  0.000
404  y6 ~1         1 est.std.nox  0.060  0.060  0.000
405  y7 ~1         1 est.std.nox -0.003 -0.003  0.000
406  y8 ~1         1 est.std.nox  0.009  0.009  0.000
407  y9 ~1         1 est.std.nox  0.021  0.021  0.000
408 y10 ~1         1 est.std.nox -0.034 -0.034  0.000
409 y11 ~1         1 est.std.nox  0.002  0.002  0.000
410 y12 ~1         1 est.std.nox -0.002 -0.002  0.000

                            fit       lav       mpl  delta
1                          npar    66.000    66.000  0.000
2                          fmin     0.026        NA     NA
3                         chisq    25.799    25.799  0.000
4                            df    24.000    24.000  0.000
5                        pvalue     0.363     0.364 -0.001
6                baseline.chisq  1436.819  1436.819  0.000
7                   baseline.df    66.000    66.000  0.000
8               baseline.pvalue     0.000     0.000  0.000
9                           cfi     0.999     0.999  0.000
10                          tli     0.996     0.996  0.000
11                   cfi.robust     0.999        NA     NA
12                   tli.robust     0.996        NA     NA
13                         nnfi     0.996        NA     NA
14                          rfi     0.951        NA     NA
15                          nfi     0.982        NA     NA
16                         pnfi     0.357        NA     NA
17                          ifi     0.999        NA     NA
18                          rni     0.999        NA     NA
19                  nnfi.robust     0.996        NA     NA
20                   rni.robust     0.999        NA     NA
21                         logl -7869.377 -7869.377  0.000
22            unrestricted.logl -7856.478 -7856.478  0.000
23                          aic 15870.755 15870.755  0.000
24                          bic 16148.919 16148.919  0.000
25                         bic2 15939.431 15939.431  0.000
26                        rmsea     0.012     0.012  0.000
27               rmsea.ci.lower     0.000     0.000  0.000
28               rmsea.ci.upper     0.039     0.039  0.000
29               rmsea.ci.level     0.900        NA     NA
30                 rmsea.pvalue     0.995     0.995  0.000
31               rmsea.close.h0     0.050        NA     NA
32        rmsea.notclose.pvalue     0.000        NA     NA
33            rmsea.notclose.h0     0.080        NA     NA
34                 rmsea.robust     0.012        NA     NA
35        rmsea.ci.lower.robust     0.000        NA     NA
36        rmsea.ci.upper.robust     0.039        NA     NA
37          rmsea.pvalue.robust     0.995        NA     NA
38 rmsea.notclose.pvalue.robust     0.000        NA     NA
39                          rmr     0.013        NA     NA
40                   rmr_nomean     0.014        NA     NA
41                         srmr     0.012     0.012  0.000
42                 srmr_bentler     0.012        NA     NA
43          srmr_bentler_nomean     0.013        NA     NA
44                         crmr     0.013        NA     NA
45                  crmr_nomean     0.015        NA     NA
46                   srmr_mplus     0.012        NA     NA
47            srmr_mplus_nomean     0.013        NA     NA
48                        cn_05   706.754        NA     NA
49                        cn_01   833.986        NA     NA
50                          gfi     0.992        NA     NA
51                         agfi     0.968        NA     NA
52                         pgfi     0.264        NA     NA
53                          mfi     0.998        NA     NA
54                         ecvi     0.316        NA     NA
